año,mes,dia,Pais,mar,horario,OperadOR,ac_type,registration,summary,all_aboard,cantidad de fallecidos,ground,total_muertes,Marca,Registracion
1919,December,Thursday,UK,terrestre,Sin Dato,Aircraft Travel Transport,de Havilland DH-4,G-EAHF,Crashed in a field while attemptting to land.,1,1,0,1,de,Con Registracion
1920,March,Wednesday,United States,terrestre,Sin Dato,US Aerial Mail Service,De Havilland DH-4,65,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area.",1,1,0,1,De,Con Registracion
1920,March,Tuesday,United States,terrestre,Sin Dato,US Aerial Mail Service,De Havilland DH-4,72,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.,1,1,0,1,De,Con Registracion
1920,April,Saturday,United States,terrestre,Sin Dato,US Aerial Mail Service,Curtiss R-4LM,49,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.,2,1,0,1,Curtiss,Con Registracion
1920,April,Sunday,United States,terrestre,Sin Dato,US Aerial Mail Service,Curtiss JN-4H,44,The aircraft crashed while on approach for unknown reasons.,2,1,0,1,Curtiss,Con Registracion
1920,May,Wednesday,United States,terrestre,Sin Dato,US Aerial Mail Service,De Havilland DH-4,79,"In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field.",2,1,0,1,De,Con Registracion
1920,June,Sunday,United States,terrestre,Sin Dato,US Aerial Mail Service,De Havilland DH-4,204,The aircraft suffered engine failure and crashed shortly after taking off.,1,1,0,1,De,Con Registracion
1920,July,Tuesday,United States,terrestre,Sin Dato,Compañia Colombiana de Navegación Aérea,Farman F-40,Sin Dato,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.,1,1,0,1,Farman,Sin Registracion
1920,August,Monday,UK,terrestre,Sin Dato,By Air,Armstrong-Whitworth F-K-8,G-EALW,The plane crashed during a cargo flight under unknown circumstances.,1,1,0,1,Armstrong-Whitworth,Con Registracion
1920,August,Monday,United States,terrestre,Sin Dato,US Aerial Mail Service,De Havilland DH-4,317,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames.",1,1,0,1,De,Con Registracion
1920,September,Wednesday,United States,terrestre,Sin Dato,US Aerial Mail Service,Junkers JL-6,305,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire.",2,2,0,2,Junkers,Con Registracion
1920,September,Wednesday,United States,terrestre,Sin Dato,US Aerial Mail Service,Junkers F-13,308,The pilot crashed after attempting to make an emergency landing after the engine caught fire.,2,2,0,2,Junkers,Con Registracion
1920,September,Monday,United States,terrestre,Sin Dato,US Aerial Mail Service,De Havilland DH-4,316,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.,1,1,0,1,De,Con Registracion
1920,October,Saturday,France,terrestre,Sin Dato,Latecoere Airlines,Salmson 2-A-2,F-ALAI,Crashed into the Mediterranean while on a mail flight.,2,2,0,2,Salmson,Con Registracion
1920,October,Tuesday,Spain,terrestre,Sin Dato,Latecoere Airlines,Breguet 14,F-ALTA,While on a mail flight the plane crashed while attempting to land.,2,2,0,2,Breguet,Con Registracion
1920,October,Friday,United States,terrestre,Sin Dato,US Aerial Mail Service,De Havilland DH-4,76,While attempting to land in fog the aircraft hit an obstruction and crashed.,1,1,0,1,De,Con Registracion
1920,November,Sunday,United States,terrestre,Sin Dato,US Aerial Mail Service,De Havilland DH-4,Sin Dato,The aircraft crashed into a mountain in poor weather condtions.,1,1,0,1,De,Sin Registracion
1920,December,Tuesday,UK,terrestre,Diurno,Handley Page Transport,Handley Page HP-16,G-EAMA,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..,8,4,0,4,Handley,Con Registracion
1920,December,Friday,Spain,terrestre,Sin Dato,Aeropostale,Breguet 14,F-ALBO,The aircraft stalled and crashed when an engine failed.,1,1,0,1,Breguet,Con Registracion
1921,February,Thursday,United States,terrestre,Sin Dato,US Aerial Mail Service,De Havilland DH-4,130,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.,1,1,0,1,De,Con Registracion
1921,February,Wednesday,United States,terrestre,Sin Dato,US Aerial Mail Service,Junkers F-13,301,Crashed for unknown reasons. Both pilots and the mechanic were killed.,3,3,0,3,Junkers,Con Registracion
1921,February,Tuesday,Off Gibraltar,maritimo,Sin Dato,Aeropostale,Breguet 14,F-ALBA,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.,2,2,0,2,Breguet,Con Registracion
1921,February,Tuesday,United States,terrestre,Sin Dato,US Aerial Mail Service,De Havilland DH-4,67,"Shortly after taking off, the aircraft stalled and crashed .",1,1,0,1,De,Con Registracion
1921,April,Thursday,United States,terrestre,Sin Dato,US Aerial Mail Service,De Havilland DH-4,160,After taking off the aircraft stalled and crashed.,1,1,0,1,De,Con Registracion
1921,April,Friday,United States,terrestre,Sin Dato,US Aerial Mail Service,De Havilland DH-4,196,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog.",1,1,0,1,De,Con Registracion
1921,August,Sunday,France,terrestre,Sin Dato,Aeropostale,Breguet 14,F-ALBI,Sin Dato,2,2,0,2,Breguet,Con Registracion
1921,September,Tuesday,France,terrestre,Sin Dato,Franco-Roumaine,Potez IX,F-ADCD,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.,5,5,0,5,Potez,Con Registracion
1921,December,Monday,Australia,terrestre,Sin Dato,West Australian Airways,Bristol 28 Tourer,G-AUDI,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.,2,2,0,2,Bristol,Con Registracion
1922,January,Saturday,France,terrestre,Sin Dato,Handley Page Transport,Handley Page O/10,G-EATN,Crashed at Le Bourget field.,5,5,5,10,Handley,Con Registracion
1922,March,Wednesday,North Atlantic Ocean,maritimo,Diurno,Aero Limited,Aeromarine Model 85 (flying boat),Sin Dato,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami.",6,5,0,5,Aeromarine,Sin Registracion
1922,April,Friday,France,terrestre,Diurno,Daimler Airways / Grands Express Aeriens,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.",7,7,0,7,de,Con Registracion
1922,April,Saturday,China,terrestre,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.,17,17,0,17,Sin,Sin Registracion
1922,June,Saturday,UK,terrestre,Sin Dato,Cie des Messageries Aeriennes,Bleriot Spad 27,F-ACMH,Went down into the English Channel while en route.,3,3,0,3,Bleriot,Con Registracion
1922,July,Tuesday,Germany,terrestre,Sin Dato,Sin Dato,LVG C VI,Sin Dato,"The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron).",3,2,0,2,LVG,Sin Registracion
1922,July,Sunday,France,terrestre,Diurno,Compagnie Franco-Roumaine de Navigaation Aerienne,Potez 29,F-FREI,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.,5,5,0,5,Potez,Con Registracion
1922,July,Wednesday,Spain,terrestre,Sin Dato,Grands Express Aeriens,Breguet 14,F-ALVE,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed.",3,3,0,3,Breguet,Con Registracion
1922,September,Thursday,United States,terrestre,Sin Dato,US Aerial Mail Service,De Havilland DH-4,227,The plane stalled shortly after takeoff and crashed.,1,1,0,1,De,Con Registracion
1922,October,Monday,Italy,terrestre,Sin Dato,de Havilland Air Service,de Havilland DH-9,G-EAYT,Shortly after taking off the plane crashed into the sea and sank.,4,4,0,4,de,Con Registracion
1922,October,Wednesday,Morocco,terrestre,Sin Dato,Grands Express Aeriens,Breguet 14,Sin Dato,Crashed under unknown circumstances.,2,2,0,2,Breguet,Sin Registracion
1922,December,Sunday,Morocco,terrestre,Sin Dato,Grands Express Aeriens,Breguet 14,F-ALNA,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.,1,1,0,1,Breguet,Con Registracion
1923,January,Wednesday,France,terrestre,Sin Dato,Amee de l'Air,Lioré-et-Olivier H-13,F-AEIB,The plane crashed mid-air due to a structural failure of the tail.,4,3,0,3,Lioré-et-Olivier,Con Registracion
1923,January,Wednesday,Spain,terrestre,Sin Dato,Grands Express Aeriens,Breguet 14,F-ALJU,Crashed into a mountain during a snowstorm.,1,1,0,1,Breguet,Con Registracion
1923,January,Thursday,United States,terrestre,Sin Dato,US Aerial Mail Service,De Havilland DH-4,223,Crashed during a mail flight.,1,1,0,1,De,Con Registracion
1923,February,Monday,United States,terrestre,Sin Dato,US Aerial Mail Service,De Havilland DH-4,291,The pilot lost control of the aircraft  while on approach in poor weather conditions.,1,1,0,1,De,Con Registracion
1923,May,Monday,France,terrestre,Diurno,Grands Express Aeriens (Air Union),Farman F-60 Goliath,F-AEBY,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette.",6,6,0,6,Farman,Con Registracion
1923,August,Monday,UK,terrestre,Diurno,Air Union,Farman F.60 Goliath,F-AECB,"The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed.",11,1,0,1,Farman,Con Registracion
1923,August,Monday,Romania,terrestre,Sin Dato,Campagnie France Roumaine,Blériot Spad 46,F-AEGN,Crashed while on approach to Bucharesst.,2,2,0,2,Blériot,Con Registracion
1923,September,Friday,United States,terrestre,Sin Dato,US Aerial Mail Service,De Havilland DH-4,283,Crashed during an emergency landing attempt.,1,1,0,1,De,Con Registracion
1923,September,Friday,UK,terrestre,Sin Dato,Daimler Airways,de Havilland DH-34,G-EBBS,Crashed while attempting a forced landing after encountering heavy rain.,5,5,0,5,de,Con Registracion
1923,November,Sunday,Russia,terrestre,Sin Dato,CCCP,Junkers F-13,D-257,Crashed during a training flight.,5,3,0,3,Junkers,Con Registracion
1923,December,Thursday,United States,terrestre,Sin Dato,US Aerial Mail Service,De Havilland DH-4,318,Crashed under unknown circumstances.,1,1,0,1,De,Con Registracion
1923,December,Monday,United States,terrestre,Sin Dato,US Aerial Mail Service,De Havilland DH-4,315,Crashed into a montain in poor weather conditions.,1,1,0,1,De,Con Registracion
1924,March,Friday,United States,terrestre,Sin Dato,US Aerial Mail Service,De Havilland DH-4,327,Crashed during a snowstorm.,1,1,0,1,De,Con Registracion
1924,April,Thursday,Over the English Channel,maritimo,Sin Dato,KLM Royal Dutch Airlines,Fokker F.III,H-NABS,The aircraft disappeared over the North Sea. The plane and passengers were never found.,3,3,0,3,Fokker,Con Registracion
1924,June,Sunday,Colombia,terrestre,Sin Dato,SCADTA,Junkers F-13,A16,Stalled after taking off and crashed into houses..,5,5,0,5,Junkers,Con Registracion
1924,August,Friday,United States,terrestre,Sin Dato,US Aerial Mail Service,De Havilland DH-4,297,"The pliot made a low pass in honor of another pilot who had died, stalled and cashed.",1,1,0,1,De,Con Registracion
1924,November,Thursday,France,terrestre,Sin Dato,Grands Express Aeriens,Breguet 14,F-AFBD,"While en route the pilot encountered thunderstorms, lost control and crashed.",1,1,0,1,Breguet,Con Registracion
1924,December,Sunday,United States,terrestre,Sin Dato,US Aerial Mail Service,De Havilland DH-4,311,"Lost in a snowstorm, the pilot decided to bail out of the plane but was killed.",1,1,0,1,De,Con Registracion
1924,December,Wednesday,UK,terrestre,Sin Dato,Imperial Airways,de Havilland DH-34B,G-EBBX,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Crashed due to an unknown mechanical failure and subsiquent stall. Captain Stewart and seven passengers were killed in an attempted forced landing.",8,8,0,8,de,Con Registracion
1925,March,Sunday,Rusia,terrestre,Sin Dato,Zakavia,Junkers F-13,R-RECA,Shortly after take off the plane went out of control and crashed in flames.,5,5,0,5,Junkers,Con Registracion
1925,April,Saturday,Spain,terrestre,Sin Dato,Grands Express Aeriens,Breguet 14,F-AFBB,"Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed.",3,3,0,3,Breguet,Con Registracion
1925,June,Thursday,France,terrestre,Sin Dato,KLM Royal Dutch Airlines,Fokker (KLM)  F.III,H-NABM,"While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight.",4,4,0,4,Fokker,Con Registracion
1925,June,Friday,Spain,terrestre,Sin Dato,Grands Express Aeriens,Lioré-et-Olivier LeO H-13,F-FREM,While attempting to land the seaplane hit a lightning mast and crashed.,2,2,0,2,Lioré-et-Olivier,Con Registracion
1925,July,Monday,Spain,terrestre,Sin Dato,Lignes Aeriennes Latecoere,Breguet 14,F-AFBI,Crashed in unknown circumstance.,1,1,0,1,Breguet,Con Registracion
1925,July,Friday,Hungary,terrestre,Sin Dato,CIDNA,Potez IX,Sin Dato,Crashed while attempting to land 10 km from the airport,1,1,0,1,Potez,Sin Registracion
1925,October,Thursday,United States,terrestre,Sin Dato,US Aerial Mail Service,De Havilland DH-4,385,Crashed into a wooded area on Mt. Nittany in fog and low visibility.,1,1,0,1,De,Con Registracion
1925,November,Saturday,Mauritania,terrestre,Sin Dato,Lignes Aeriennes Latecoere,Breguet 14,F-AEGZ,The pilot suffered sunstroke lost control of the plane and crashed.,1,1,0,1,Breguet,Con Registracion
1925,November,Saturday,France,terrestre,Sin Dato,Air Union,Farman F-60 Goliath,F-FHMY,Sin Dato,2,2,0,2,Farman,Con Registracion
1926,February,Friday,United States,terrestre,Sin Dato,US Aerial Mail Service,Curtiss Carrier Pigeon,602,"While the mail plane was flying at a low altitude, the  aircraft hit trees and crashed in a wooded area.",1,1,0,1,Curtiss,Con Registracion
1926,May,Monday,English Channel,maritimo,Sin Dato,Air Union,Breguet 14,F-ADAI,The mail plane crashed into the English Channel and was never found.,1,1,0,1,Breguet,Con Registracion
1926,July,Saturday,Czechoslovakia,terrestre,Sin Dato,Compagnie Internationale de Navigation Aérienne,Caudron C-61,F-AFBT,Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude.,6,6,0,6,Caudron,Con Registracion
1926,July,Friday,Belgium,terrestre,Diurno,KLM Royal Dutch Airlines,Fokker F7,H-NACC,Crashed into the ground while descending in poor weather.,2,2,0,2,Fokker,Con Registracion
1926,July,Saturday,Germany,terrestre,Sin Dato,Deutsche Lufthansa,Junkers F-13,D-272,Crashed under weather related.circumstances.,5,5,0,5,Junkers,Con Registracion
1926,August,Wednesday,UK,terrestre,Sin Dato,Air Union,Bleriot 155,F-AIEB,The plane made a forced landing at Romney Marsh  in heavy fog.  Engine failure. The pilot initally survived but died a day later.,15,3,0,3,Bleriot,Con Registracion
1926,September,Sunday,United States,terrestre,Sin Dato,Sin Dato,Sikorsky S-25,Sin Dato,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantic passenger flight.,5,2,0,2,Sikorsky,Sin Registracion
1926,October,Saturday,UK,terrestre,Diurno,Air Union,Bleriot 155,F- AICQ,"After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed..",7,7,0,7,Bleriot,Con Registracion
1926,October,Friday,Germany,terrestre,Sin Dato,Deutsche Lufthansa,Fokker FG III,D-468,Weather related.,4,4,0,4,Fokker,Con Registracion
1926,October,Thursday,English Channel,maritimo,Sin Dato,Imperial Airways,Handley Page W-10,G-EBMS,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry.",12,0,0,0,Handley,Con Registracion
1926,November,Thursday,Morocco,terrestre,Diurno,Grands Express Aeriens,Breguet 14,F-AFAX,"While en route and cruising along the shore, the mail plane's engine failed. The crew made an emergency landing on a beach near Cape Bojador. After the landing, crew was attacked by Maures tribesmen and killed while the aircraft was set on fire and destroyed.",3,3,0,3,Breguet,Con Registracion
1926,December,Thursday,United States,terrestre,Sin Dato,Pacific Air Transport,Ryan M-1,2,The postal plane crashed into a mountain slope in foggy conditions.,1,1,0,1,Ryan,Con Registracion
1927,January,Wednesday,France,terrestre,Sin Dato,Fokker,Fokker F-VII,G-EBPL,The flight crew encountered poor weather conditions and made an emergency landing. The aircraft landed in a field badly damaged and written off.,2,2,0,2,Fokker,Con Registracion
1927,March,Sunday,Morocco,terrestre,Sin Dato,Grands Express Aeriens,Breguet 14,F-ALRA,Unknown.,1,1,0,1,Breguet,Con Registracion
1927,March,Thursday,Australia,terrestre,Sin Dato,Qantas,de Havilland DH-9C,G-AUED,"While attempting to land, the engine failed, the aircraft stalled and crashed.",3,3,0,3,de,Con Registracion
1927,April,Friday,Germany,terrestre,Sin Dato,Deutsche Lufthansa,Fokker FG III,D-729,Crashed following engine failure.,2,2,0,2,Fokker,Con Registracion
1927,April,Friday,United States,terrestre,Sin Dato,US Aerial Mail Service,Douglas M-4,626,Crashed into a field during a snow storm.,1,1,0,1,Douglas,Con Registracion
1927,May,Monday,Algeria,terrestre,Sin Dato,Air Union,SPCA Meteore 63,F-AIFN,The three engine seaplane stalled and crashed into the sea shortly after taking off.,3,1,0,1,SPCA,Con Registracion
1927,July,Wednesday,Germany,terrestre,Sin Dato,Deutsche Lufthansa,Junkers F-13,D-206,Crashed after experiencing engine failure and attempting to make a forced landing.,5,5,0,5,Junkers,Con Registracion
1927,September,Saturday,United States,terrestre,Sin Dato,Reynolds Airways,Fokker F-VII,NC776,The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.,12,7,0,7,Fokker,Con Registracion
1927,September,Saturday,Atlantic Ocean,maritimo,Nocturno,Private,Fokker F7,NX703,"While flying 1,000 km east of the Canadian coast, the crew sent a mayday message and the aircraft crashed into the ocean two minutes later. The plane was owned by William Randolph Hearst who financed this nonstop transatlantic flight.",3,3,0,3,Fokker,Con Registracion
1927,September,Friday,Germany,terrestre,Sin Dato,Deutsche Lufthansa,Dornier Merkur,D-585,From an altitude of 500 ft. the plane went out of control and crashed  due to a broken wing strut.,6,6,0,6,Dornier,Con Registracion
1927,October,Thursday,Mauritania,terrestre,Sin Dato,Lignes Aeriennes Latecoere,Breguet 14,F-AGBN,The plane crashed while attempting to land at Dakar.,2,2,0,2,Breguet,Con Registracion
1927,October,Sunday,United States,terrestre,Sin Dato,Colonial Air Transport,Fairchild FC-2,Sin Dato,Went into a tailspin and crashed into a corn field about 10 km from the airport.,4,4,0,4,Fairchild,Sin Registracion
1927,November,Tuesday,France,terrestre,Sin Dato,CIDNA,Farman F-121 Jabiru,F-AIBR,The mail plane crashed shortly after taking off.,1,1,0,1,Farman,Con Registracion
1927,November,Wednesday,Over the Gulf of Finland,maritimo,Sin Dato,Aero O-Y,Junkers F-13,K-SALD,Crashed in the gulf of Finland and never found.,6,6,0,6,Junkers,Con Registracion
1927,December,Wednesday,Spain,terrestre,Sin Dato,Aeropostale,Breguet 14,F-AFGS,A fire erupted aboard the mail plane while en route and crashed.,1,1,0,1,Breguet,Con Registracion
1927,December,Saturday,France,terrestre,Sin Dato,Latecoere Airlines,Latécoère 23 (flying boat),F-AIHP,"Suffered structural failure at an altitude of 1,000 ft.",5,5,0,5,Latécoère,Con Registracion
1928,January,Sunday,United States,terrestre,Sin Dato,Colonial Western Airlines,Fairchild FC-2,NC3780,Became lost in dense fog and flew into trees in the Mohawk Valley while proceeding to Buffalo..,3,3,0,3,Fairchild,Con Registracion
1928,January,Monday,Uruguay,terrestre,Sin Dato,Aeropostale,Latecoere 25,F-AIKG,The wing on the mail plane detached from the aircraft and crashed into the sea.,2,2,0,2,Latecoere,Con Registracion
1928,January,Sunday,Ariège,terrestre,Sin Dato,Aeropostale,Breguet 14,F-AHEQ,Crashed after experiencing mechanical difficulties.,1,1,0,1,Breguet,Con Registracion
1928,January,Sunday,Spain,terrestre,Sin Dato,Aeropostale,Breguet 14,F-AHEQ,Crashed in unknown circumstances.,2,2,0,2,Breguet,Con Registracion
1928,January,Friday,Spain,terrestre,Sin Dato,Aeropostale,Breguet 14,F-AFHN,After experiencing turbulence the pilot's seat belt broke and ejecting the pilot.,1,1,0,1,Breguet,Con Registracion
1928,February,Sunday,United States,terrestre,Sin Dato,Boeing Air Transport,Boeing 40,NC280,The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees.,2,1,0,1,Boeing,Con Registracion
1928,March,Sunday,France,terrestre,Sin Dato,Air Union,Farman F-60 Goliath,F-AEFC,Crashed into the sea while delivering mail in poor weather.,2,2,0,2,Farman,Con Registracion
1928,April,Thursday,Spain,terrestre,Sin Dato,Iberia Airlines,Rohrbach Roland,M-CCCC,Crashed into a field after getting lost in fog.,9,9,0,9,Rohrbach,Con Registracion
1928,May,Monday,Brazil,terrestre,Sin Dato,Aeropostale,Latecoere 26,F-AIMQ,An in flight fire caused he pilot to lose control and crash in a field after which a fire erupted.,5,1,0,1,Latecoere,Con Registracion
1928,May,Saturday,United States,terrestre,Sin Dato,Ford Air Freight Inc.,Ford 4,NC1492,The cargo plane crashed on it’s inaugural flight. The pilot tried to become airborne without sufficient speed.,2,2,0,2,Ford,Con Registracion
1928,May,Saturday,Germany,terrestre,Sin Dato,Deutsche Lufthansa,Junkers F-13,D-583,"After taking off and encountering fog, the pilot decided to  to make a precautionary landing in a field but t hit a cow, crashed and burned. Pilot error.",5,3,0,3,Junkers,Con Registracion
1928,June,Thursday,Germany,terrestre,Sin Dato,Deutsche Lufthansa,AEGK,D-74,"The ""Viper"" crashed for unknown reasons.",5,5,0,5,AEGK,Con Registracion
1928,June,Friday,United States,terrestre,Sin Dato,National Air Transport,Douglas M-4,NC1059,The mail plane flew into tornado like winds and crashed in a field.,1,1,0,1,Douglas,Con Registracion
1928,July,Tuesday,Over the Gulf of Finland,maritimo,Sin Dato,Aero O-Y,Junkers F-13,K-SALB,Crashed under unknown circumstances,6,6,0,6,Junkers,Con Registracion
1928,July,Friday,UK,terrestre,Sin Dato,Imperial Airways,Vickers 74 Vulcan,G-EBLB,"After the aircraft had climbed to 800 feet it disappeared from view of the airport in a south-west direction. The aircraft crashed into a market garden near Leigh Cottage on Woodcote Road, it was seen by residents flying low over the roof tops with the engine evidently in difficulties. The aircraft crashed into a potato field, the pilot in an open cockpit clambered clear and helped one of the passengers from the enclosed cabin free. The aircraft burst into flames and it was not possible to rescue the other passengers.",6,4,0,4,Vickers,Con Registracion
1928,July,Tuesday,Netherlands,terrestre,Sin Dato,KLM Royal Dutch Airlines,Fokker (KLM) F.III,H-NABR,"The plane became airborne in a stalled condition, hit a shipsmast and crashed into the Waalhaven.",6,1,0,1,Fokker,Con Registracion
1928,August,Saturday,Canada,terrestre,Sin Dato,British Columbia Airways,Ford 4-AT-B Tri Motor,G-CATX,Crashed into Puget Sound in dense fog 12 miles off Port Townsend.  Considered the first Canadian air disaster.,7,7,0,7,Ford,Con Registracion
1928,September,Sunday,France,terrestre,Sin Dato,CIDNA,Bleriot Spad 33,F-AIEP,"After taking off the engine failed, the plane stalled and crashed.",5,5,0,5,Bleriot,Con Registracion
1928,September,Tuesday,Australia,terrestre,Sin Dato,Qantas,de Havilland DH.50J,G-AUHI,"Following the conclusion of an aerial tour carrying Sir John Salmond, the aircraft departed Adelaide piloted by C. W. A. Scott with an engineer as passenger. Control was lost in the cloud during an attempt to cross the Adelaide Hills; the aircraft encounted bad weather, crashed and caught fire.",2,1,0,1,de,Con Registracion
1928,September,Tuesday,United States,terrestre,Sin Dato,National Parks Airways,Fokker Super Universal,NC7242,"While flying low and circling six times for a landing, the mail plane went into a nose dive when the pilot headed into the wind and crashed to the ground, rolling over several times.",7,7,0,7,Fokker,Con Registracion
1928,September,Thursday,Germany,terrestre,Sin Dato,Deutsche Lufthansa,Fokker FG III,D-180,Crashed due to engine failure.,3,3,0,3,Fokker,Con Registracion
1928,October,Thursday,United States,terrestre,Sin Dato,National Air Transport,Douglas M-4,NC1064,The mail plane crashed into a hill and burned during the night during poor weather conditons.,1,1,0,1,Douglas,Con Registracion
